Genome_Name,TaxonID
Mycobacterium abscessus subsp. abscessus strain 1045,1185650
Mycobacterium abscessus subsp. abscessus strain 1046,1185650
Mycobacterium abscessus subsp. abscessus strain 1044,1185650
Mycobacterium abscessus subsp. abscessus strain 1043,1185650
Mycobacterium abscessus subsp. abscessus strain 1042,1185650
Mycobacterium abscessus subsp. abscessus strain 1039,1185650
Mycobacterium abscessus subsp. abscessus strain 1040,1185650
Mycobacterium abscessus subsp. abscessus strain 1024,1185650
Mycobacterium abscessus subsp. abscessus strain 1132,1185650
Mycobacterium abscessus subsp. abscessus strain 1020,1185650
Mycobacterium abscessus subsp. abscessus strain 1063,1185650
Mycobacterium abscessus subsp. abscessus strain 1029,1185650
Mycobacterium abscessus subsp. abscessus strain 1169,1185650
Mycobacterium abscessus subsp. abscessus strain 1081,1185650
Mycobacterium abscessus subsp. abscessus strain 859,1185650
Mycobacterium abscessus subsp. abscessus strain 821,1185650
Mycobacterium abscessus subsp. abscessus strain 811,1185650
Mycobacterium abscessus subsp. abscessus strain 806,1185650
Mycobacterium abscessus subsp. abscessus strain 548,1185650
Mycobacterium abscessus subsp. abscessus strain 746,1185650
Mycobacterium abscessus subsp. abscessus strain 747,1185650
Mycobacterium abscessus subsp. abscessus strain 143,1185650
Mycobacterium abscessus subsp. abscessus strain 144,1185650
Mycobacterium abscessus subsp. abscessus strain 141,1185650
Mycobacterium abscessus subsp. abscessus strain 142,1185650
Mycobacterium abscessus subsp. abscessus strain 128,1185650
Mycobacterium abscessus subsp. abscessus strain 126,1185650
Mycobacterium abscessus subsp. abscessus strain 121,1185650
Mycobacterium abscessus subsp. abscessus strain 119,1185650
Mycobacterium abscessus subsp. abscessus strain 117,1185650
Mycobacterium abscessus subsp. abscessus strain 109,1185650
Mycobacterium abscessus subsp. abscessus strain 110,1185650
Mycobacterium abscessus subsp. abscessus strain 98,1185650
Mycobacterium abscessus subsp. abscessus strain 106,1185650
Mycobacterium abscessus subsp. abscessus strain 97,1185650
Mycobacterium abscessus subsp. abscessus strain 31,1185650
Mycobacterium abscessus subsp. abscessus strain 505,1185650
Mycobacterium abscessus subsp. abscessus strain 498,1185650
Mycobacterium abscessus subsp. abscessus strain 503,1185650
Mycobacterium abscessus subsp. abscessus strain 506,1185650
Mycobacterium abscessus subsp. abscessus strain 504,1185650
Mycobacterium abscessus subsp. abscessus strain 502,1185650
Mycobacterium abscessus subsp. abscessus strain 501,1185650
Mycobacterium abscessus subsp. abscessus strain 494,1185650
Mycobacterium abscessus subsp. abscessus strain 491,1185650
Mycobacterium abscessus subsp. abscessus strain 469,1185650
Mycobacterium abscessus subsp. abscessus strain 1125,1185650
Mycobacterium abscessus subsp. abscessus strain 1114,1185650
Mycobacterium abscessus subsp. abscessus strain 1019,1185650
Mycobacterium abscessus subsp. abscessus strain 1013,1185650
Mycobacterium abscessus subsp. abscessus strain 1011,1185650
Mycobacterium abscessus subsp. abscessus strain 1010,1185650
Mycobacterium abscessus subsp. abscessus strain 1009,1185650
Mycobacterium abscessus subsp. abscessus strain 991,1185650
Mycobacterium abscessus subsp. abscessus strain 993,1185650
Mycobacterium abscessus subsp. abscessus strain 998,1185650
Mycobacterium abscessus subsp. abscessus strain 997,1185650
Mycobacterium abscessus subsp. abscessus strain 996,1185650
Mycobacterium abscessus subsp. abscessus strain 987,1185650
Mycobacterium abscessus subsp. abscessus strain 986,1185650
Mycobacterium abscessus subsp. abscessus strain 984,1185650
Mycobacterium abscessus subsp. abscessus strain 982,1185650
Mycobacterium abscessus subsp. abscessus strain 878,1185650
Mycobacterium abscessus subsp. abscessus strain 1003,1185650
Mycobacterium abscessus subsp. abscessus strain 782,1185650
Mycobacterium abscessus subsp. abscessus strain 745,1185650
Mycobacterium abscessus subsp. abscessus strain 820,1185650
Mycobacterium abscessus subsp. abscessus strain 815,1185650
Mycobacterium abscessus subsp. abscessus strain 808,1185650
Mycobacterium abscessus subsp. abscessus strain 807,1185650
Mycobacterium abscessus subsp. abscessus strain 805,1185650
Mycobacterium abscessus subsp. abscessus strain 804,1185650
Mycobacterium abscessus subsp. abscessus strain 756,1185650
Mycobacterium abscessus subsp. abscessus strain 510,1185650
Mycobacterium abscessus subsp. abscessus strain 104,1185650
Mycobacterium abscessus subsp. abscessus strain 103,1185650
Mycobacterium abscessus subsp. abscessus strain 102,1185650
Mycobacterium abscessus subsp. abscessus strain 100,1185650
Mycobacterium abscessus subsp. abscessus strain 101,1185650
Mycobacterium abscessus subsp. abscessus strain 96,1185650
Mycobacterium abscessus subsp. abscessus strain 72,1185650
Mycobacterium abscessus subsp. abscessus strain 70,1185650
Mycobacterium abscessus subsp. abscessus strain 71,1185650
Mycobacterium abscessus subsp. abscessus strain 67,1185650
Mycobacterium abscessus subsp. abscessus strain 69,1185650
Mycobacterium abscessus subsp. abscessus strain 65,1185650
